epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,233.17,0.2758,0.32577,0.92142,0.99804,1,0.995,0.995,0.17911,0.15921,0.85721,0.00020575,0.00020575,0.00020575
109,234.902,0.31414,0.34064,0.93616,0.99803,1,0.995,0.995,0.17059,0.16976,0.85441,0.000203,0.000203,0.000203
110,236.579,0.31238,0.35727,0.93407,0.99805,1,0.995,0.995,0.17025,0.16344,0.8559,0.00020025,0.00020025,0.00020025
111,238.176,0.29041,0.32439,0.93719,0.99808,1,0.995,0.995,0.16973,0.17224,0.85425,0.0001975,0.0001975,0.0001975
112,239.927,0.30007,0.34585,0.93002,0.99804,1,0.995,0.98879,0.16917,0.18869,0.85082,0.00019475,0.00019475,0.00019475
113,241.67,0.26992,0.34059,0.93084,0.99804,1,0.995,0.98872,0.16765,0.17435,0.85336,0.000192,0.000192,0.000192
114,243.525,0.32196,0.35381,0.93353,0.99804,1,0.995,0.995,0.17283,0.17452,0.85478,0.00018925,0.00018925,0.00018925
115,245.295,0.30058,0.34426,0.925,0.99806,1,0.995,0.99143,0.1727,0.18031,0.85504,0.0001865,0.0001865,0.0001865
116,247.014,0.29629,0.31954,0.92761,0.99805,1,0.995,0.99114,0.18466,0.17182,0.86042,0.00018375,0.00018375,0.00018375
117,248.706,0.31511,0.34342,0.95762,0.99804,1,0.995,0.99115,0.19586,0.17361,0.86562,0.000181,0.000181,0.000181
118,250.412,0.27508,0.33041,0.92361,0.99805,1,0.995,0.99142,0.18943,0.17317,0.86366,0.00017825,0.00017825,0.00017825
119,252.185,0.27105,0.3147,0.90716,0.99805,1,0.995,0.99039,0.18609,0.16335,0.86055,0.0001755,0.0001755,0.0001755
120,253.979,0.30039,0.32616,0.92826,0.99803,1,0.995,0.995,0.17775,0.156,0.85513,0.00017275,0.00017275,0.00017275
121,257.342,0.3121,0.3322,0.94018,0.998,1,0.995,0.995,0.17741,0.16725,0.85794,0.00017,0.00017,0.00017
122,259.147,0.27857,0.32563,0.92499,0.99799,1,0.995,0.99099,0.17499,0.17025,0.85829,0.00016725,0.00016725,0.00016725
123,261.066,0.28665,0.31179,0.92721,0.99802,1,0.995,0.99143,0.17021,0.15904,0.85925,0.0001645,0.0001645,0.0001645
124,262.861,0.27037,0.31062,0.91126,0.99801,1,0.995,0.995,0.16547,0.15889,0.8566,0.00016175,0.00016175,0.00016175
125,264.75,0.28923,0.32568,0.91404,0.99799,1,0.995,0.995,0.16216,0.14593,0.85423,0.000159,0.000159,0.000159
126,266.517,0.2872,0.32533,0.924,0.998,1,0.995,0.995,0.1661,0.14114,0.85482,0.00015625,0.00015625,0.00015625
127,268.345,0.27457,0.29498,0.91087,0.99803,1,0.995,0.9913,0.16656,0.15593,0.85533,0.0001535,0.0001535,0.0001535
128,270.133,0.28323,0.3133,0.92103,0.99802,1,0.995,0.995,0.16639,0.15203,0.856,0.00015075,0.00015075,0.00015075
129,271.885,0.29699,0.32119,0.95212,0.99807,1,0.995,0.99183,0.1733,0.14688,0.85588,0.000148,0.000148,0.000148
130,273.598,0.27624,0.30736,0.93701,0.99803,1,0.995,0.99167,0.17297,0.14611,0.85616,0.00014525,0.00014525,0.00014525
131,275.292,0.31592,0.34373,0.95723,0.99802,1,0.995,0.995,0.16864,0.15013,0.85723,0.0001425,0.0001425,0.0001425
132,276.951,0.27484,0.30528,0.91063,0.99803,1,0.995,0.995,0.15544,0.15185,0.8564,0.00013975,0.00013975,0.00013975
133,278.787,0.26847,0.30373,0.91411,0.998,1,0.995,0.995,0.16032,0.15191,0.85953,0.000137,0.000137,0.000137
134,280.516,0.27649,0.32403,0.91697,0.99803,1,0.995,0.995,0.16082,0.14835,0.8593,0.00013425,0.00013425,0.00013425
135,282.398,0.26448,0.2954,0.9232,0.99806,1,0.995,0.995,0.1621,0.14503,0.85705,0.0001315,0.0001315,0.0001315
136,284.243,0.26211,0.30603,0.90591,0.99806,1,0.995,0.995,0.16212,0.13681,0.85381,0.00012875,0.00012875,0.00012875
137,286.08,0.26602,0.31469,0.9217,0.99806,1,0.995,0.995,0.15768,0.14083,0.85193,0.000126,0.000126,0.000126
138,287.946,0.26836,0.30221,0.92313,0.99803,1,0.995,0.995,0.15445,0.14757,0.85091,0.00012325,0.00012325,0.00012325
139,291.196,0.2541,0.29092,0.92031,0.99804,1,0.995,0.995,0.15326,0.1582,0.8506,0.0001205,0.0001205,0.0001205
140,292.951,0.28609,0.30087,0.94375,0.99805,1,0.995,0.995,0.16006,0.1686,0.85346,0.00011775,0.00011775,0.00011775
141,294.698,0.26837,0.28892,0.92241,0.99801,1,0.995,0.995,0.16861,0.16675,0.85589,0.000115,0.000115,0.000115
142,296.526,0.2633,0.30037,0.92471,0.998,1,0.995,0.99148,0.16539,0.16122,0.85417,0.00011225,0.00011225,0.00011225
143,298.325,0.28681,0.31136,0.93223,0.99804,1,0.995,0.995,0.15109,0.16515,0.85051,0.0001095,0.0001095,0.0001095
