epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,314.083,0.31615,0.28016,0.93702,0.99804,1,0.995,0.99157,0.19754,0.16064,0.87475,0.000424055,0.000424055,0.000424055
170,315.768,0.30673,0.26192,0.93688,0.99799,1,0.995,0.98402,0.21071,0.17322,0.87718,0.000423603,0.000423603,0.000423603
171,317.414,0.3109,0.27425,0.93982,0.99797,1,0.995,0.98782,0.20903,0.1769,0.87919,0.000423151,0.000423151,0.000423151
172,319.131,0.3188,0.27742,0.93819,0.99802,1,0.995,0.98301,0.2296,0.18899,0.89592,0.000422699,0.000422699,0.000422699
173,320.897,0.29331,0.26749,0.91817,0.99804,1,0.995,0.97534,0.22814,0.19282,0.8921,0.000422247,0.000422247,0.000422247
174,322.689,0.33689,0.28711,0.96289,0.99804,1,0.995,0.98127,0.19842,0.17794,0.87307,0.000421795,0.000421795,0.000421795
175,324.416,0.32462,0.27514,0.96015,0.99795,1,0.995,0.98934,0.19897,0.17208,0.87194,0.000421342,0.000421342,0.000421342
176,326.138,0.30407,0.26963,0.92316,0.99801,1,0.995,0.995,0.1963,0.19429,0.87041,0.00042089,0.00042089,0.00042089
177,328.017,0.30698,0.27717,0.94313,0.99799,1,0.995,0.98994,0.19489,0.14898,0.86562,0.000420438,0.000420438,0.000420438
178,331.685,0.29829,0.25657,0.93212,0.99798,1,0.995,0.995,0.19312,0.15016,0.86696,0.000419986,0.000419986,0.000419986
179,333.477,0.31797,0.28197,0.92894,0.998,1,0.995,0.98976,0.21351,0.16531,0.87105,0.000419534,0.000419534,0.000419534
180,335.295,0.29508,0.25646,0.9189,0.99802,1,0.995,0.9839,0.20731,0.16897,0.86658,0.000419082,0.000419082,0.000419082
181,336.974,0.30022,0.25727,0.92015,0.99789,1,0.995,0.989,0.20171,0.1754,0.8646,0.00041863,0.00041863,0.00041863
182,338.688,0.31543,0.2713,0.92049,0.99762,1,0.995,0.9898,0.19407,0.18963,0.86601,0.000418178,0.000418178,0.000418178
183,340.385,0.34107,0.30436,0.9585,0.99772,1,0.995,0.98978,0.17355,0.19615,0.86036,0.000417726,0.000417726,0.000417726
184,342.107,0.32347,0.27412,0.9523,0.99803,1,0.995,0.995,0.18048,0.15807,0.85929,0.000417274,0.000417274,0.000417274
185,343.837,0.28713,0.25676,0.93167,0.99804,1,0.995,0.995,0.19309,0.16381,0.86704,0.000416822,0.000416822,0.000416822
